id,name,type,country
144,Ayaan Khan,BATTER,OMN
145,Bilal Khan,BOWLER,OMN
146,Suraj Kumar,BATTER,OMN
147,Naseem Khushi,WICKET_KEEPER,OMN
148,Sufyan Mehmood,BOWLER,OMN
149,Mohammad Nadeem,BOWLER,OMN
150,Khurram Nawaz,BATTER,OMN
151,Jatinder Singh,BATTER,OMN

152,Babar Azam,BATTER,PAK
153,Shadab Khan,ALL_ROUNDER,PAK
154,Sarfaraz Ahmed,WICKET_KEEPER,PAK
155,Shaheen Afridi,BOWLER,PAK
156,Asif Ali,BATTER,PAK
157,Hasan Ali,BOWLER,PAK
158,Haider Ali,BATTER,PAK
159,Mohammad Hafeez,ALL_ROUNDER,PAK
160,Shoaib Malik,BATTER,PAK
161,Mohammad Nawaz,ALL_ROUNDER,PAK
162,Haris Rauf,BOWLER,PAK
163,Mohammad Rizwan,WICKET_KEEPER,PAK
164,Imad Wasim,ALL_ROUNDER,PAK
165,Mohammad Wasim Jr,ALL_ROUNDER,PAK
166,Fakhar Zaman,BATTER,PAK

167,Assad Vala,ALL_ROUNDER,PNG
168,Charles Amini,BOWLER,PNG
169,Simon Atai,WICKET_KEEPER,PNG
170,Sese Bau,BATTER,PNG
171,Kiplin Doriga,WICKET_KEEPER,PNG
172,Jack Gardner,ALL_ROUNDER,PNG
173,Hiri Hiri,BATTER,PNG
174,Jason Kila,ALL_ROUNDER,PNG
175,Kabua Morea,BOWLER,PNG
176,Nosaina Pokana,BOWLER,PNG
177,Damien Ravu,BOWLER,PNG
178,Lega Siaka,BATTER,PNG
179,Chad Soper,BOWLER,PNG
180,Gaudi Toka,BATTER,PNG
181,Tony Ura,BATTER,PNG
182,Norman Vanua,BOWLER,PNG

183,Kyle Coetzer,BATTER,SCT
184,Richie Berrington,ALL_ROUNDER,SCT
185,Dylan Budge,BATTER,SCT
186,Matthew Cross,WICKET_KEEPER,SCT
187,Josh Davey,BOWLER,SCT
188,Alasdair Evans,BOWLER,SCT
189,Chris Greaves,ALL_ROUNDER,SCT
190,Michael Leask,BOWLER,SCT
191,Calum MacLeod,BATTER,SCT
192,George Munsey,BATTER,SCT
193,Safyaan Sharif,BOWLER,SCT
194,Hamza Tahir,BOWLER,SCT
195,Craig Wallace,BATTER,SCT
196,Mark Watt,BOWLER,SCT
197,Brad Wheal,BOWLER,SCT
198,Chris Sole,BOWLER,SCT

199,Temba Bavuma,BATTER,SA
200,Quinton de Kock,WICKET_KEEPER,SA
201,Bjorn Fortuin,BOWLER,SA
202,Reeza Hendricks,BATTER,SA
203,Heinrich Klaasen,WICKET_KEEPER,SA
204,Keshav Maharaj,BOWLER,SA
205,Aiden Markram,BATTER,SA
206,David Miller,BATTER,SA
207,Wiaan Mulder,ALL_ROUNDER,SA
208,Lungi Ngidi,BOWLER,SA
209,Anrich Nortje,BOWLER,SA
210,Dwaine Pretorius,ALL_ROUNDER,SA
211,Kagiso Rabada,BOWLER,SA
212,Tabraiz Shamsi,BOWLER,SA
213,Rassie van der Dussen,BATTER,SA

214,Dasun Shanaka,ALL_ROUNDER,SL
215,Dhananjaya de Silva,ALL_ROUNDER,SL
216,Charith Asalanka,ALL_ROUNDER,SL
217,Dinesh Chandimal,BATTER,SL
218,Dushmantha Chameera,BOWLER,SL
219,Akila Dananjaya,BOWLER,SL
220,Avishka Fernando,BATTER,SL
221,Binura Fernando,BOWLER,SL
222,Wanindu Hasaranga,ALL_ROUNDER,SL
223,Chamika Karunaratne,BOWLER,SL
224,Lahiru Kumara,BOWLER,SL
225,Pathum Nissanka,BATTER,SL
226,Kusal Perera,WICKET_KEEPER,SL
227,Bhanuka Rajapaksa,BATTER,SL
228,Maheesh Theekshana,BOWLER,SL

229,Kieron Pollard,ALL_ROUNDER,WI
230,Nicholas Pooran,WICKET_KEEPER,WI
231,Fabian Allen,ALL_ROUNDER,WI
232,Dwayne Bravo,ALL_ROUNDER,WI
233,Roston Chase,ALL_ROUNDER,WI
234,Andre Fletcher,WICKET_KEEPER,WI
235,Chris Gayle,BATTER,WI
236,Shimron Hetmyer,BATTER,WI
237,Evin Lewis,BATTER,WI
238,Obed McCoy,BOWLER,WI
239,Ravi Rampaul,BOWLER,WI
240,Andre Russell,ALL_ROUNDER,WI
241,Lendl Simmons,BATTER,WI
242,Oshane Thomas,BOWLER,WI
243,Hayden Walsh Jr.,BOWLER,WI
